data_date,county_code,district_code,school_code,direct_funded_charter_school_number,provision_two_three_school,data_source,county_name,lea_name,school_name,low_grade,high_grade,enrollment_k_12,free_meal_count_k_12,percent_eligible_free_k_12,frpm_total_undup_count_k_12,frpm_percent_eligible_k_12,enrollment_5_17,free_meal_count_5_17,percent_eligible_5_17,frpm_total_undup_count_5_17,frpm_percent_eligible_5_17
2012-10-01,01,61259,6001697,    ,N,CALPADS,Alameda        ,Oakland Unified,Carl B. Munck Elementary,KK,05,321,188,58.57,212,66.04,315,182,57.78,206,65.4
2012-10-01,01,61259,6001713,    ,N,CALPADS,Alameda        ,Oakland Unified,Howard Elementary,KK,05,205,170,82.93,179,87.32,199,166,83.42,174,87.44
2012-10-01,01,61259,6001739,    ,N,CALPADS,Alameda        ,Oakland Unified,Cleveland Elementary,KK,05,349,152,43.55,190,54.44,343,151,44.02,187,54.52
2012-10-01,01,61259,6001754,    ,N,CALPADS,Alameda        ,Oakland Unified,Crocker Highlands Elementary,KK,05,419,19,4.53,22,5.25,412,19,4.61,22,5.34
2012-10-01,01,61259,6001812,    ,N,CALPADS,Alameda        ,Oakland Unified,Emerson Elementary,KK,05,324,223,68.83,258,79.63,301,212,70.43,245,81.4
2012-10-01,01,61259,6001820,    ,Y,NSD,Alameda        ,Oakland Unified,Franklin Elementary,KK,05,770,NULL,76.82,NULL,85.4,751,NULL,76.82,NULL,85.4
2012-10-01,01,61259,6001838,    ,Y,NSD,Alameda        ,Oakland Unified,Fruitvale Elementary,KK,05,436,NULL,77.27,NULL,87.5,430,NULL,77.27,NULL,87.5
2012-10-01,01,61259,6001846,    ,Y,NSD,Alameda        ,Oakland Unified,Garfield Elementary,KK,05,582,NULL,87.48,NULL,93.31,531,NULL,87.48,NULL,93.31
2012-10-01,01,61259,6001853,    ,N,CALPADS,Alameda        ,Oakland Unified,Glenview Elementary,KK,05,467,130,27.84,161,34.48,458,127,27.73,157,34.28
2012-10-01,01,61259,6001879,    ,N,CALPADS,Alameda        ,Oakland Unified,Grass Valley Elementary,KK,05,259,149,57.53,159,61.39,257,148,57.59,158,61.48
